DonationID,DonorID,DonationDate,Quantity,StaffID
296,D3690,2024-01-15,437,S202
297,D10123,2024-06-24,381,S170
298,D8531,2020-06-18,479,S274
299,D2210,2023-08-04,497,S446
300,D3435,2023-06-25,309,S171
301,D5039,2023-12-19,498,S276
302,D14500,2022-02-04,355,S350
303,D11721,2024-06-15,498,S296
304,D11688,2022-11-09,317,S461
305,D4078,2023-12-27,365,S95
306,D16104,2024-10-20,411,S302
307,D9758,2023-09-19,463,S182
308,D792,2022-09-18,419,S490
309,D18831,2024-12-12,403,S172
310,D3448,2020-09-20,389,S231
311,D6883,2023-11-10,422,S155
312,D10103,2021-05-06,441,S122
313,D4187,2022-02-08,310,S195
314,D4001,2021-03-14,321,S135
315,D7293,2020-02-18,309,S164
316,D4696,2021-09-10,498,S362
317,D7062,2024-08-05,474,S243
318,D18736,2022-10-15,427,S50
319,D7727,2021-02-25,402,S439
320,D16681,2021-08-04,326,S350
321,D5365,2024-05-11,311,S431
322,D14065,2020-11-30,477,S283
323,D16690,2022-02-17,346,S190
324,D410,2020-08-23,370,S347
325,D15316,2022-07-28,365,S316
326,D8952,2024-12-14,348,S139
327,D12727,2020-11-15,311,S233
328,D18704,2020-04-11,433,S28
329,D2998,2024-07-03,420,S373
330,D13741,2021-06-25,408,S140
331,D19810,2024-11-29,448,S243
332,D19487,2020-12-12,415,S467
333,D8603,2020-07-30,335,S414
334,D6690,2023-01-15,469,S479
335,D14119,2021-09-25,469,S297
336,D6844,2024-12-27,472,S245
337,D11947,2020-03-20,391,S356
338,D13063,2024-11-05,375,S70
339,D17129,2022-07-10,463,S372
340,D2965,2020-06-12,300,S455
341,D17412,2022-11-16,370,S26
342,D19827,2022-03-06,316,S23
343,D6451,2023-09-10,422,S443
344,D15969,2023-12-24,319,S227
345,D5582,2021-02-22,335,S242
346,D7789,2021-08-20,379,S148
347,D3369,2022-03-24,489,S322
348,D4473,2020-12-31,483,S170
349,D12132,2024-05-12,491,S365
350,D6157,2023-02-16,320,S260
351,D7723,2022-07-16,445,S98
352,D5459,2023-10-25,449,S253
353,D10325,2020-09-05,480,S303
354,D17721,2024-05-07,346,S352
355,D4927,2020-03-12,377,S210
356,D11189,2020-04-04,384,S447
357,D8418,2021-08-30,495,S493
358,D11979,2021-11-14,366,S478
359,D1166,2023-08-24,381,S384
360,D5582,2024-06-17,307,S171
361,D3961,2024-01-19,371,S286
362,D4380,2022-04-23,466,S172
363,D4207,2021-07-02,421,S59
364,D10374,2020-12-22,322,S233
365,D7002,2020-11-10,433,S13
366,D13197,2024-12-20,335,S152
367,D8935,2023-07-02,490,S311
368,D1403,2021-07-17,342,S209
369,D19886,2023-06-18,359,S8
370,D4653,2020-02-27,460,S270
371,D6940,2023-09-11,463,S380
372,D7594,2020-01-04,355,S191
373,D11467,2023-11-28,388,S201
374,D16003,2023-04-03,404,S205
375,D751,2021-07-28,394,S252
376,D19324,2023-11-01,334,S51
377,D6215,2020-08-31,484,S408
378,D16523,2023-06-08,485,S121
379,D3940,2020-06-07,423,S330
380,D10206,2022-06-24,458,S290
381,D15825,2021-07-22,443,S461
382,D15114,2020-11-01,309,S492
383,D12134,2023-07-06,308,S276
384,D4887,2022-12-31,482,S469
385,D10201,2020-11-02,377,S431
386,D16697,2023-11-04,415,S309
387,D10552,2020-06-19,463,S417
388,D10876,2022-06-03,313,S95
389,D3399,2022-07-13,470,S218
390,D8084,2022-04-24,471,S386
391,D18919,2024-01-13,412,S340
392,D4504,2021-12-19,410,S252
393,D9788,2023-03-09,427,S185
394,D2893,2020-10-22,457,S293
395,D8775,2021-05-10,353,S371
396,D12774,2023-06-21,458,S368
397,D8461,2023-11-18,331,S183
398,D8789,2021-12-19,409,S193
399,D14522,2024-09-22,307,S376
400,D2932,2020-12-05,457,S347
401,D13576,2022-08-03,356,S80
402,D2147,2020-12-24,406,S336
403,D18862,2024-12-25,427,S357
404,D9184,2021-03-21,336,S217
405,D7338,2021-08-24,316,S309
406,D7032,2024-10-16,479,S379
407,D18972,2022-02-05,408,S269
408,D4929,2022-09-29,403,S454
409,D12933,2020-09-16,327,S474
410,D2961,2022-07-26,386,S87
411,D18709,2024-03-21,395,S60
412,D9624,2022-05-03,386,S83
413,D14360,2021-12-26,345,S52
414,D18276,2020-06-11,459,S371
415,D14852,2021-06-01,492,S194
416,D1879,2021-10-31,461,S37
417,D11217,2023-10-07,338,S364
418,D19257,2022-04-05,469,S8
419,D6590,2024-08-18,448,S461
420,D9640,2020-07-19,486,S462
421,D8731,2023-08-18,448,S429
422,D6414,2021-06-22,434,S288
423,D6837,2020-04-26,349,S185
424,D16705,2023-03-24,363,S234
425,D16505,2024-12-30,430,S345
426,D18239,2022-09-22,382,S198
427,D6527,2020-05-16,464,S318
428,D19825,2023-03-29,304,S397
429,D13234,2023-10-02,447,S417
430,D13890,2021-01-29,439,S475
431,D9054,2023-05-12,493,S216
432,D9498,2023-10-06,448,S473
433,D7691,2021-03-30,355,S175
434,D10245,2020-06-19,450,S158
435,D11495,2024-01-27,353,S98
436,D160,2022-12-25,319,S336
437,D10195,2022-04-24,417,S420
438,D12376,2021-03-04,314,S296
439,D3623,2020-03-19,472,S407
440,D6811,2021-11-25,477,S252
441,D16307,2023-04-07,332,S152
442,D15011,2023-05-12,493,S308
443,D14570,2022-08-21,382,S282
444,D1119,2022-01-21,388,S193
445,D3605,2022-06-24,430,S445
446,D3312,2022-10-31,331,S66
447,D16682,2022-05-23,352,S307
448,D5278,2023-03-29,338,S159
449,D978,2024-05-29,450,S428
450,D17708,2020-03-15,491,S185
451,D5992,2022-12-06,369,S458
452,D19471,2022-07-13,432,S285
453,D10021,2022-11-08,303,S499
454,D4967,2022-07-12,491,S300
455,D10709,2024-10-10,324,S411
456,D6838,2024-07-28,365,S340
457,D14079,2020-03-11,390,S191
458,D19621,2023-04-03,490,S350
459,D19726,2020-04-12,353,S471
460,D16825,2020-05-14,368,S1
461,D14688,2020-12-12,385,S473
462,D15893,2021-02-26,314,S385
463,D4246,2021-11-08,322,S178
464,D16434,2024-09-03,348,S18
465,D16321,2023-12-18,408,S386
466,D2668,2020-07-17,317,S238
467,D15064,2024-10-26,340,S489
468,D8611,2023-05-21,324,S489
469,D18468,2021-08-30,434,S387
470,D1822,2022-11-06,477,S403
471,D18227,2020-06-02,465,S238
472,D13693,2024-11-08,366,S331
473,D13514,2021-10-31,494,S409
474,D9313,2022-05-23,348,S153
475,D9928,2020-12-03,361,S288
476,D2623,2020-06-15,305,S157
477,D3256,2021-10-14,332,S78
478,D4474,2024-12-04,310,S378
479,D3468,2022-06-07,490,S45
480,D723,2020-02-03,382,S227
481,D13387,2023-01-22,489,S67
482,D16143,2022-02-02,453,S398
483,D5397,2022-01-27,381,S33
484,D16834,2024-03-25,383,S215
485,D2556,2020-11-20,381,S378
486,D6270,2023-06-18,341,S211
487,D2136,2023-07-12,309,S325
488,D3878,2020-01-17,489,S96
489,D10764,2022-12-30,341,S450
490,D5133,2024-05-15,497,S8
491,D15644,2020-05-12,312,S399
492,D18861,2023-03-28,370,S167
493,D9920,2021-08-16,320,S162
494,D7494,2024-07-28,486,S187
495,D10907,2024-04-22,310,S406
496,D9742,2022-12-05,370,S81
497,D18976,2024-05-14,303,S402
498,D2980,2020-09-28,305,S123
499,D15031,2021-11-01,444,S353
500,D7435,2023-07-27,372,S159
501,D18321,2020-08-03,304,S87
502,D13023,2022-11-27,405,S226
503,D2603,2021-12-02,462,S454
504,D2325,2020-02-12,379,S421
505,D3987,2022-11-22,329,S9
506,D1478,2021-04-28,451,S413
507,D14726,2022-05-29,345,S110
508,D1351,2024-12-01,490,S445
509,D3729,2022-09-16,321,S197
510,D19435,2020-07-08,417,S230
511,D10723,2020-10-14,431,S234
512,D265,2020-05-08,315,S26
513,D8864,2020-07-04,387,S51
514,D9262,2024-06-03,420,S234
515,D3097,2024-10-23,387,S430
516,D19508,2024-03-07,388,S88
517,D13070,2023-02-12,466,S261
518,D13393,2020-06-16,441,S435
519,D4275,2024-05-30,437,S79
520,D11984,2021-03-23,342,S71
521,D2078,2022-04-06,469,S359
522,D17449,2023-12-03,318,S461
523,D17583,2022-07-18,383,S35
524,D5206,2020-09-06,366,S46
525,D17081,2021-07-22,318,S103
526,D17482,2024-09-19,333,S412
527,D19390,2021-01-30,376,S5
528,D15594,2021-01-07,396,S342
529,D10726,2023-06-18,329,S400
530,D5369,2023-01-22,433,S444
531,D11632,2021-08-29,340,S150
532,D7023,2024-02-20,401,S168
533,D19674,2024-01-10,444,S287
534,D4433,2023-06-19,327,S63
535,D13035,2023-01-18,404,S40
536,D1405,2023-11-07,421,S17
537,D5241,2022-06-27,342,S499
538,D12051,2024-02-06,451,S253
539,D18761,2024-07-29,406,S415
540,D403,2020-03-20,317,S277
541,D16891,2024-10-07,460,S130
542,D3615,2022-03-16,497,S353
543,D7074,2022-06-04,391,S275
544,D9940,2022-09-06,303,S266
545,D2101,2023-11-20,404,S480
546,D11645,2023-01-07,483,S385
547,D15990,2021-10-01,350,S489
548,D4684,2022-08-11,480,S78
549,D13537,2021-08-28,400,S240
550,D9157,2021-05-30,376,S160
551,D11455,2024-08-20,474,S449
552,D19346,2020-11-21,496,S247
553,D2607,2023-01-27,396,S318
554,D5648,2023-05-08,462,S232
555,D6240,2022-03-11,322,S204
556,D18987,2020-10-01,477,S214
557,D6859,2022-09-20,366,S7
558,D15712,2023-01-27,363,S299
559,D586,2023-06-23,325,S240
560,D18158,2020-12-06,382,S364
561,D12644,2024-08-26,476,S90
562,D217,2021-05-14,480,S151
563,D7889,2020-10-02,304,S47
564,D1853,2020-06-03,387,S150
565,D16663,2022-09-27,447,S366
566,D6252,2021-02-27,325,S494
567,D1989,2020-04-25,377,S200
568,D8818,2023-09-24,441,S196
569,D17084,2020-05-05,486,S477
570,D15656,2020-10-30,496,S174
571,D15629,2023-02-15,383,S73
572,D1896,2020-03-14,401,S136
573,D10504,2020-10-06,496,S125
574,D7164,2022-07-30,402,S282
575,D13672,2020-12-28,378,S328
576,D13061,2024-02-27,414,S321
577,D13191,2024-01-10,358,S35
578,D13489,2022-11-22,420,S109
579,D174,2022-11-18,493,S285
580,D11129,2020-09-29,465,S374
581,D1967,2020-10-12,498,S316
582,D10499,2022-12-31,445,S151
583,D18122,2024-08-31,349,S43
584,D8761,2020-11-26,446,S219
585,D18614,2023-11-12,393,S205
586,D10471,2020-07-03,443,S193
587,D8869,2021-04-28,364,S394
588,D3276,2022-10-21,465,S461
589,D11928,2023-01-25,303,S453
590,D17319,2023-06-21,415,S190
591,D16184,2022-01-14,471,S103
592,D8108,2024-08-10,442,S117
593,D14710,2022-02-05,447,S410
594,D1098,2021-03-29,327,S400
595,D11727,2023-02-17,424,S292
596,D2696,2022-08-20,432,S273
597,D14060,2024-06-09,365,S498
598,D9926,2023-09-28,377,S344
599,D4715,2020-05-21,473,S480
600,D3545,2021-12-01,389,S12
601,D8548,2022-09-11,487,S94
602,D3813,2020-02-21,300,S88
603,D377,2020-10-28,321,S32
604,D19191,2020-10-01,402,S314
605,D16629,2021-10-30,443,S197
606,D10500,2022-03-16,466,S86
607,D5225,2022-04-28,478,S265
608,D11283,2020-06-23,302,S132
609,D5179,2024-12-24,409,S247
610,D4823,2021-06-25,408,S24
611,D8876,2021-01-28,424,S280
612,D15952,2021-06-27,467,S483
613,D19472,2022-02-13,304,S166
614,D3078,2022-12-01,409,S447
615,D18661,2023-08-28,500,S123
616,D17723,2021-07-25,437,S391
617,D3590,2023-11-22,439,S78
618,D12012,2023-10-07,399,S172
619,D9951,2021-11-18,491,S110
620,D3054,2022-02-04,389,S172
621,D12817,2023-09-17,439,S449
622,D8772,2020-08-06,379,S155
623,D10665,2023-03-21,342,S411
624,D18236,2022-02-16,357,S153
625,D15457,2022-07-08,463,S349
626,D14137,2023-03-04,375,S277
627,D10981,2024-05-05,449,S456
628,D4628,2023-01-13,308,S15
629,D11496,2021-09-19,484,S484
630,D2333,2020-07-20,485,S201
631,D13354,2020-07-28,319,S439
632,D13747,2024-11-11,356,S166
633,D3580,2022-06-10,440,S414
634,D11560,2021-02-13,312,S65
635,D2759,2022-01-09,356,S319
636,D4256,2023-02-21,369,S51
637,D19740,2021-07-16,390,S370
638,D13835,2022-05-13,428,S241
639,D13844,2022-10-10,312,S499
640,D15203,2022-04-18,340,S123
641,D10354,2024-06-01,450,S158
642,D1505,2021-09-13,467,S139
643,D13756,2022-12-05,499,S143
644,D17041,2022-08-25,433,S182
645,D4914,2022-10-12,349,S324
646,D9307,2024-03-30,305,S329
647,D12754,2020-06-07,376,S447
648,D10283,2020-07-29,325,S393
649,D11225,2024-04-18,452,S35
650,D3369,2022-03-09,464,S495
651,D16936,2024-02-15,454,S431
652,D3576,2021-02-20,343,S44
653,D19796,2021-12-01,372,S428
654,D2016,2021-01-21,413,S235
655,D10075,2023-10-22,467,S311
656,D12611,2023-04-03,495,S140
657,D6146,2023-10-05,464,S116
658,D2220,2023-03-10,390,S296
659,D731,2024-07-13,446,S104
660,D8838,2024-08-17,414,S466
661,D3490,2023-10-21,392,S394
662,D1738,2021-10-09,410,S316
663,D10756,2023-04-09,342,S1
664,D17028,2023-06-04,483,S93
665,D9921,2021-05-04,494,S454
666,D10776,2024-04-23,472,S48
667,D7983,2023-02-10,371,S175
668,D4904,2023-07-22,427,S441
669,D1476,2021-08-20,300,S91
670,D12280,2022-04-25,487,S237
671,D13828,2023-10-30,472,S98
672,D2315,2022-07-24,317,S419
673,D19414,2023-02-08,318,S332
674,D9473,2021-06-26,361,S486
675,D9223,2021-11-20,406,S400
676,D16257,2023-11-21,347,S272
677,D4227,2024-02-08,385,S47
678,D19104,2020-10-20,369,S271
679,D5344,2022-01-23,357,S278
680,D7545,2023-12-30,451,S34
681,D16939,2020-10-07,498,S441
682,D12902,2022-11-08,396,S119
683,D6003,2023-08-06,409,S172
684,D8091,2023-06-04,323,S494
685,D14888,2020-10-03,369,S269
686,D1611,2021-03-14,485,S102
687,D15225,2022-08-06,361,S90
688,D2097,2023-04-24,431,S85
689,D9696,2022-02-11,378,S414
690,D7815,2020-07-30,373,S144
691,D18204,2020-01-29,326,S405
692,D9835,2024-03-06,326,S92
693,D2112,2020-01-12,417,S166
694,D4697,2021-10-22,380,S425
695,D11906,2021-04-28,476,S139
696,D237,2020-12-19,492,S216
697,D12545,2020-03-24,319,S453
698,D5029,2022-04-11,434,S72
699,D6488,2024-01-28,322,S405
700,D10162,2024-12-31,449,S29
701,D11929,2021-10-25,358,S216
702,D12409,2023-07-09,418,S27
703,D13387,2023-01-05,376,S66
704,D13322,2020-07-18,478,S382
705,D15322,2021-07-14,445,S189
706,D14701,2023-01-18,468,S345
707,D3943,2020-05-13,443,S99
708,D14286,2022-04-02,395,S335
709,D15331,2024-09-08,406,S314
710,D19460,2020-11-26,389,S367
711,D19262,2023-10-15,378,S286
712,D19461,2022-04-21,444,S462
713,D14806,2023-07-11,338,S3
714,D5969,2022-02-02,426,S341
715,D1417,2021-04-18,387,S145
716,D4932,2022-05-03,497,S100
717,D10763,2022-07-25,498,S174
718,D7784,2020-08-14,334,S443
719,D4209,2020-12-03,365,S431
720,D18332,2021-06-07,382,S393
721,D2614,2020-05-01,439,S375
722,D6757,2024-09-10,313,S393
723,D8545,2021-06-22,478,S22
724,D6624,2024-05-30,439,S431
725,D13129,2021-04-23,475,S435
726,D12321,2021-07-25,458,S469
727,D18714,2020-02-28,472,S380
728,D4755,2020-01-08,315,S217
729,D16376,2024-11-06,488,S281
730,D3182,2023-11-27,318,S423
731,D19208,2022-07-04,464,S495
732,D1447,2022-05-29,397,S393
733,D6630,2023-03-20,428,S473
734,D11860,2024-12-04,496,S470
735,D9982,2022-12-12,467,S111
736,D15048,2022-12-25,473,S72
737,D12063,2022-02-15,441,S342
738,D4919,2024-12-10,353,S73
739,D16066,2021-01-02,372,S133
740,D260,2023-05-01,351,S189
741,D4996,2023-03-08,456,S38
742,D12909,2021-12-20,420,S382
743,D3771,2022-12-30,458,S94
744,D9127,2021-10-27,314,S349
745,D14447,2021-03-05,318,S482
746,D648,2023-03-28,409,S258
747,D14996,2021-02-14,312,S64
748,D12115,2022-11-21,407,S172
749,D662,2022-11-12,425,S401
750,D13753,2024-06-09,330,S394
751,D10724,2020-05-25,464,S109
752,D19797,2020-09-16,362,S232
753,D17916,2023-11-24,416,S232
754,D4494,2023-01-10,397,S410
755,D11492,2022-10-21,400,S367
756,D12499,2024-07-12,310,S46
757,D10464,2021-09-19,358,S126
758,D14423,2022-02-25,411,S249
759,D13184,2024-02-03,455,S150
760,D18345,2020-09-08,386,S430
761,D2821,2021-09-08,307,S176
762,D11302,2023-08-30,496,S242
763,D3819,2022-02-14,373,S427
764,D13074,2021-08-19,440,S207
765,D9483,2022-03-27,361,S396
766,D18572,2024-10-23,362,S51
767,D2743,2023-10-20,319,S386
768,D7577,2022-10-01,443,S419
769,D6220,2020-12-11,492,S481
770,D15022,2024-09-25,459,S349
771,D18354,2020-03-12,421,S244
772,D6587,2021-01-09,349,S296
773,D12142,2022-05-09,375,S336
774,D4469,2021-06-04,331,S226
775,D8970,2023-01-10,408,S375
776,D8753,2022-07-20,473,S9
